Region,Technology,Data Type,Year,Electricity statistics
World,Total renewable,Electricity Generation (GWh),2000,2846212
World,Total renewable,Electricity Generation (GWh),2001,2789793.23
World,Total renewable,Electricity Generation (GWh),2002,2887789.95
World,Total renewable,Electricity Generation (GWh),2003,2912974.64
World,Total renewable,Electricity Generation (GWh),2004,3128828.43
World,Total renewable,Electricity Generation (GWh),2005,3288334.2
World,Total renewable,Electricity Generation (GWh),2006,3442014.13
World,Total renewable,Electricity Generation (GWh),2007,3547011.36
World,Total renewable,Electricity Generation (GWh),2008,3767316.69
World,Total renewable,Electricity Generation (GWh),2009,3903318.8
World,Total renewable,Electricity Generation (GWh),2010,4190597.43
World,Total renewable,Electricity Generation (GWh),2011,4398004.56
World,Total renewable,Electricity Generation (GWh),2012,4749221.57
World,Total renewable,Electricity Generation (GWh),2013,5033591.92
World,Total renewable,Electricity Generation (GWh),2014,5304328.78
World,Total renewable,Electricity Generation (GWh),2015,5512459.94
World,Total renewable,Electricity Generation (GWh),2016,5869281.64
World,Total renewable,Electricity Generation (GWh),2017,6237075.44
World,Total renewable,Electricity Generation (GWh),2018,6633757.9
World,Total renewable,Electricity Generation (GWh),2019,6994075
World,Total renewable,Electricity Generation (GWh),2020,7458031.13
World,Total renewable,Electricity Generation (GWh),2021,7872645.6
World,Total renewable,Electricity Generation (GWh),2022,8439660.2
World,Total renewable,Electricity Generation (GWh),2023,-
World,Total renewable,Electricity Installed Capacity (MW),2000,752238.54
World,Total renewable,Electricity Installed Capacity (MW),2001,775469.08
World,Total renewable,Electricity Installed Capacity (MW),2002,795186.17
World,Total renewable,Electricity Installed Capacity (MW),2003,827127.52
World,Total renewable,Electricity Installed Capacity (MW),2004,860630.21
World,Total renewable,Electricity Installed Capacity (MW),2005,900524.62
World,Total renewable,Electricity Installed Capacity (MW),2006,942657.82
World,Total renewable,Electricity Installed Capacity (MW),2007,994114.83
World,Total renewable,Electricity Installed Capacity (MW),2008,1057455.2
World,Total renewable,Electricity Installed Capacity (MW),2009,1137476.36
World,Total renewable,Electricity Installed Capacity (MW),2010,1224700.03
World,Total renewable,Electricity Installed Capacity (MW),2011,1329756.6
World,Total renewable,Electricity Installed Capacity (MW),2012,1442697.23
World,Total renewable,Electricity Installed Capacity (MW),2013,1565312.66
World,Total renewable,Electricity Installed Capacity (MW),2014,1698287.09
World,Total renewable,Electricity Installed Capacity (MW),2015,1852488.19
World,Total renewable,Electricity Installed Capacity (MW),2016,2014994.78
World,Total renewable,Electricity Installed Capacity (MW),2017,2185703.82
World,Total renewable,Electricity Installed Capacity (MW),2018,2360949.84
World,Total renewable,Electricity Installed Capacity (MW),2019,2548678.39
World,Total renewable,Electricity Installed Capacity (MW),2020,2819239.38
World,Total renewable,Electricity Installed Capacity (MW),2021,3083423.49
World,Total renewable,Electricity Installed Capacity (MW),2022,3391341.36
World,Total renewable,Electricity Installed Capacity (MW),2023,3864514.1
World,Solar energy,Electricity Generation (GWh),2000,1312.13
World,Solar energy,Electricity Generation (GWh),2001,1677.52
World,Solar energy,Electricity Generation (GWh),2002,1949.74
World,Solar energy,Electricity Generation (GWh),2003,2366.46
World,Solar energy,Electricity Generation (GWh),2004,3059.68
World,Solar energy,Electricity Generation (GWh),2005,4375.43
World,Solar energy,Electricity Generation (GWh),2006,5988.64
World,Solar energy,Electricity Generation (GWh),2007,8072.32
World,Solar energy,Electricity Generation (GWh),2008,12743.47
World,Solar energy,Electricity Generation (GWh),2009,20936.06
World,Solar energy,Electricity Generation (GWh),2010,33748.99
World,Solar energy,Electricity Generation (GWh),2011,65600.55
World,Solar energy,Electricity Generation (GWh),2012,101650.8
World,Solar energy,Electricity Generation (GWh),2013,137356.61
World,Solar energy,Electricity Generation (GWh),2014,192590.23
World,Solar energy,Electricity Generation (GWh),2015,252257.79
World,Solar energy,Electricity Generation (GWh),2016,324785.59
World,Solar energy,Electricity Generation (GWh),2017,437503.95
World,Solar energy,Electricity Generation (GWh),2018,560024.7
World,Solar energy,Electricity Generation (GWh),2019,689891.2
World,Solar energy,Electricity Generation (GWh),2020,835673.96
World,Solar energy,Electricity Generation (GWh),2021,1030559.35
World,Solar energy,Electricity Generation (GWh),2022,1294470.19
World,Solar energy,Electricity Generation (GWh),2023,-
World,Solar energy,Electricity Installed Capacity (MW),2000,1215.68
World,Solar energy,Electricity Installed Capacity (MW),2001,1465.53
World,Solar energy,Electricity Installed Capacity (MW),2002,1810.8
World,Solar energy,Electricity Installed Capacity (MW),2003,2334.37
World,Solar energy,Electricity Installed Capacity (MW),2004,3418.52
World,Solar energy,Electricity Installed Capacity (MW),2005,4925.01
World,Solar energy,Electricity Installed Capacity (MW),2006,6475.28
World,Solar energy,Electricity Installed Capacity (MW),2007,8947.76
World,Solar energy,Electricity Installed Capacity (MW),2008,15215.49
World,Solar energy,Electricity Installed Capacity (MW),2009,23536.86
World,Solar energy,Electricity Installed Capacity (MW),2010,41530.93
World,Solar energy,Electricity Installed Capacity (MW),2011,72820
World,Solar energy,Electricity Installed Capacity (MW),2012,103027.93
World,Solar energy,Electricity Installed Capacity (MW),2013,140208.53
World,Solar energy,Electricity Installed Capacity (MW),2014,179631.53
World,Solar energy,Electricity Installed Capacity (MW),2015,228073.76
World,Solar energy,Electricity Installed Capacity (MW),2016,300137.74
World,Solar energy,Electricity Installed Capacity (MW),2017,395846.19
World,Solar energy,Electricity Installed Capacity (MW),2018,491980.25
World,Solar energy,Electricity Installed Capacity (MW),2019,595019.63
World,Solar energy,Electricity Installed Capacity (MW),2020,726221.35
World,Solar energy,Electricity Installed Capacity (MW),2021,870634.96
World,Solar energy,Electricity Installed Capacity (MW),2022,1070843.39
World,Solar energy,Electricity Installed Capacity (MW),2023,1418008.17
World,Wind energy,Electricity Generation (GWh),2000,30944.47
World,Wind energy,Electricity Generation (GWh),2001,37739.96
World,Wind energy,Electricity Generation (GWh),2002,52423.9
World,Wind energy,Electricity Generation (GWh),2003,63390.16
World,Wind energy,Electricity Generation (GWh),2004,84097.63
World,Wind energy,Electricity Generation (GWh),2005,103224.4
World,Wind energy,Electricity Generation (GWh),2006,129518.19
World,Wind energy,Electricity Generation (GWh),2007,168893.87
World,Wind energy,Electricity Generation (GWh),2008,216884.95
World,Wind energy,Electricity Generation (GWh),2009,272028.8
World,Wind energy,Electricity Generation (GWh),2010,342840.29
World,Wind energy,Electricity Generation (GWh),2011,433781.08
World,Wind energy,Electricity Generation (GWh),2012,526112.58
World,Wind energy,Electricity Generation (GWh),2013,636479.68
World,Wind energy,Electricity Generation (GWh),2014,712130.47
World,Wind energy,Electricity Generation (GWh),2015,827885.66
World,Wind energy,Electricity Generation (GWh),2016,952943.69
World,Wind energy,Electricity Generation (GWh),2017,1131754.92
World,Wind energy,Electricity Generation (GWh),2018,1258925.98
World,Wind energy,Electricity Generation (GWh),2019,1412635.71
World,Wind energy,Electricity Generation (GWh),2020,1588318.71
World,Wind energy,Electricity Generation (GWh),2021,1840364.15
World,Wind energy,Electricity Generation (GWh),2022,2098332.16
World,Wind energy,Electricity Generation (GWh),2023,-
World,Wind energy,Electricity Installed Capacity (MW),2000,16963.68
World,Wind energy,Electricity Installed Capacity (MW),2001,23958.91
World,Wind energy,Electricity Installed Capacity (MW),2002,30724.98
World,Wind energy,Electricity Installed Capacity (MW),2003,38664.06
World,Wind energy,Electricity Installed Capacity (MW),2004,47659.21
